word_index,word_id,unique_word_id,word,translation,start_time,end_time
0,caf0bca5-c0f1-4a08-b4ee-be57d8d06bd1,4dc77b18-c856-46a0-90f0-6902720782ad,sueños,dreams,12.799999,13.299999
1,50e17651-e8e5-4fdd-8c8b-09e901952184,0be61c8d-4f39-4942-92c7-ee26c89047a0,fútbol,soccer,15.224999,15.545
2,7edfe67a-8011-4e6c-9147-afc271a3a631,db4cb6e9-1570-42dc-9784-a7a968eb36fd,estrellas,stars,16.345,16.845
3,066a572b-9a62-48b3-813d-7428ca6a55aa,9184033c-34d4-4998-83f3-a385df8d006e,familia,family,24.585,24.985
4,611251bb-25e6-42db-a0c1-965ccfb040c9,0be61c8d-4f39-4942-92c7-ee26c89047a0,fútbol,soccer,25.465,25.965
5,2cf113ec-a0d2-4023-b1ff-905df93581f1,b5326b4b-6f0c-4209-b765-9571fe1836e2,travesuras,pranks,28.699999,29.199999
6,6d7abcac-1ef4-46b5-bfe6-f9d5b460c948,b84338f1-0e77-4551-9a96-ec977ab2a52b,balón,ball,31.019999,31.519999
7,d209f67a-8a93-4630-bdd7-220778e6beaa,63be02ed-7419-44d7-a007-b3b8538d73bf,deporte,sport,36.379997,36.879997
8,5fa7833e-cc8b-4b0a-80e3-85be0d3dbabb,ed442c34-0570-4d99-883c-30279092e659,club,club,42.675,42.915
9,ff0f1b6f-0352-4c2b-99f0-4bdb9127c8c7,0be61c8d-4f39-4942-92c7-ee26c89047a0,fútbol,soccer,43.235,43.635002
10,e373e594-d770-4165-bb33-c43d38ecf7f6,00b7eb09-2804-4db2-978d-ddd5d2dc3113,estupefacción,astonishment,47.155,47.655
11,6d83e6b0-2c4c-4033-b5a8-63ab01b4cb76,ed442c34-0570-4d99-883c-30279092e659,club,club,49.235,49.735
12,d992f456-9827-4723-bf49-0107f5247fa2,0be61c8d-4f39-4942-92c7-ee26c89047a0,fútbol,soccer,62.800003,63.2
13,9f2b802a-c960-4815-a5b2-f4056d99d627,52d87d99-02b3-4e48-b889-838caee48f45,entrenadores,coaches,66.255,66.755
14,9f62a6c3-1e7f-4edb-a952-4e099bac1552,5bef5977-31fe-44f5-aff6-2119f9147dbe,disciplina,discipline,69.975,70.475
15,9197085a-1b11-4def-ad97-58700a5c6f47,77aac1fb-9f49-4321-99eb-ed06e855ae68,templanza,temperance,72.415,72.495
16,83dc8f37-10ae-4431-8a40-c58233e36540,b84338f1-0e77-4551-9a96-ec977ab2a52b,balón,ball,79.935,80.31
17,041db330-2cf8-4cfb-a391-9b947e643dca,00b7eb09-2804-4db2-978d-ddd5d2dc3113,estupefacción,astonishment,81.75,82.229996
18,02373d0c-82af-4585-a7eb-61236a200f23,588980b0-1373-4e2d-9413-5a4082d8b369,gratitud,gratitude,82.63,82.95
19,1a13517c-3f2d-49ea-8681-f5c5cfaaa7ea,0be61c8d-4f39-4942-92c7-ee26c89047a0,fútbol,soccer,89.99,90.07
20,484da2d5-db00-4ae4-8955-afb129de9ecc,52d87d99-02b3-4e48-b889-838caee48f45,entrenadores,coaches,90.549995,91.049995
21,7e5f8421-a013-4be1-8acf-4292f00d0ed3,77aac1fb-9f49-4321-99eb-ed06e855ae68,templanza,temperance,93.43,93.67
22,2f71cc8e-0cb2-4cc6-9bba-4d2dd886f0c0,46075512-25cf-4b4b-8b0f-0a521b041f76,éxito,success,100.925,101.245
23,30ee7cdc-3049-48c8-8f6f-2b20f6c28a3c,0be61c8d-4f39-4942-92c7-ee26c89047a0,fútbol,soccer,115.66,116.06
24,93e1bee4-6e69-40d1-98cd-696242ed6eed,ff4499cf-19ab-41f9-9bb8-31bc4a803a2c,pericia,expertise,117.1,117.42
25,402df43d-8ea9-4ed2-b58f-1211998f2ca2,3fae6f3c-744b-4326-b28b-efeb61f828d1,esfuerzo,effort,125.225006,125.625
26,6a1223a4-1733-4adc-a868-69b4b4fcacb1,ed442c34-0570-4d99-883c-30279092e659,club,club,128.505,128.825
27,8f33a79b-f04b-4ffd-9baa-314b5e9496d8,722b0a72-d719-41d9-beac-822b5e959c61,pesadumbre,sorrow,144.92,145.42
28,685e2dbe-a9b9-4413-997a-a60101552760,0621425a-f55b-4e33-a95f-2917d6590378,miramiento,consideration,148.665,149.14499
29,89f340a7-37aa-4207-9f27-52d2aa77b1df,8f89f4ea-53e2-4f4e-832d-89d234efe4bf,compañeros,companions,149.625,150.125
30,0c411d63-d9f3-451d-92d2-3c2a3b646652,0ca913c1-3d46-4496-9ee0-311744341266,arrebato,outburst,155.385,155.885
31,fd6f5f79-110f-442e-97a0-414c07ce6187,5fb62d91-ba9a-443c-b89d-526798c4b87a,emociones,emotions,161.21,161.61
32,c872d1dd-e377-468b-be70-545b66884e4f,5bef5977-31fe-44f5-aff6-2119f9147dbe,disciplina,discipline,167.53,168.03
33,269aec7d-c229-43b7-8eba-704a66c48307,722b0a72-d719-41d9-beac-822b5e959c61,pesadumbre,sorrow,169.69,170.19
