word_index,word_id,unique_word_id,word,translation,start_time,end_time
0,45ddERf9-1d09-4b2f-9152-21419438dc2a,7308a6dc-bbf8-43fd-8557-d79efcf3b36d,arcoíris,rainbow,7.28,8.02
1,ffdddbfe-1d09-4b2f-9152-21419438dc2a,b5986b1d-1979-456e-bd24-04a92583c436,atavío,attire,14.665,15.145
2,6f4ab9a5-3f0c-4bd9-8592-6f4e370471ea,e3e254f0-e909-4810-8045-7b12e795acdd,bordillo,curb,19.225,19.705
3,fb3bfa25-0ba6-4d8f-9f1f-122ad09393b3,22766937-92f0-4139-aedf-a8c3b892bab8,bordón,bass string,51.225,51.725
4,3041d5c3-0851-4d90-8744-7eec0212dec6,9b62d4b1-7e77-4f62-b326-53cc24bfd9d4,velamen,sail,56.85,57.21
5,5dac4cf7-7ede-4b38-84ff-e270d4abc430,f38a18a6-8195-463c-a197-90758c2b6c6b,baluarte,fortress,83.825,84.305
6,b63bac21-db9b-449b-818e-e43f46042e07,9b62d4b1-7e77-4f62-b326-53cc24bfd9d4,velamen,sail,97.14,97.62
7,d2c68625-7482-4e8f-a7fc-a080142c59cc,7308a6dc-bbf8-43fd-8557-d79efcf3b36d,arcoíris,rainbow,135.895,136.395
8,738c4ffe-4ffc-4949-ab83-4587b28c7e61,ccecee3f-ef03-4988-b940-bf3aa83d32da,timbal,drum,153.23001,153.73001
9,56f35102-d50b-47e7-97fc-deb654699293,22766937-92f0-4139-aedf-a8c3b892bab8,bordón,bass string,163.135,163.535
10,5e8189fb-0cc0-45b2-a2ea-880a12e25ec1,ccecee3f-ef03-4988-b940-bf3aa83d32da,timbal,drum,193.375,193.875
11,4fdfce19-1337-4426-8e2d-dc450fdffb4b,026ec6b6-2715-4aa4-a1c1-247cd4c15d09,júbilo,joy,202.73001,203.05
12,c688c330-f325-4815-a4fe-354569e8be84,f38a18a6-8195-463c-a197-90758c2b6c6b,baluarte,fortress,210.09001,210.57
13,9fe6eaa3-272b-4cb9-80a8-052f4821f07d,026ec6b6-2715-4aa4-a1c1-247cd4c15d09,júbilo,joy,223.47499,223.795
14,2fe9193f-10e7-4ee9-9f5f-2b5e3fda4216,b5986b1d-1979-456e-bd24-04a92583c436,atavío,attire,251.545,252.025
15,49cdb2ea-b298-4d51-8c56-76b08cdaa68b,e3e254f0-e909-4810-8045-7b12e795acdd,bordillo,curb,267.33002,267.81
