Participant ID,Current Video Index,Condition,Word ID,Unique Word ID,Word,Translation,Timestamp
fdfdrrwer432,3,3,45ddERf9-1d09-4b2f-9152-21419438dc2a,7308a6dc-bbf8-43fd-8557-d79efcf3b36d,arcoíris,rainbow,2024-11-24 15:54:08.337853+00:00
fdfdrrwer432,3,3,ffdddbfe-1d09-4b2f-9152-21419438dc2a,b5986b1d-1979-456e-bd24-04a92583c436,atavío,attire,2024-11-24 15:54:13.678266+00:00
fdfdrrwer432,3,3,6f4ab9a5-3f0c-4bd9-8592-6f4e370471ea,e3e254f0-e909-4810-8045-7b12e795acdd,bordillo,curb,2024-11-24 15:54:13.798227+00:00
fdfdrrwer432,3,6,fb3bfa25-0ba6-4d8f-9f1f-122ad09393b3,22766937-92f0-4139-aedf-a8c3b892bab8,bordón,bass string,2024-11-24 15:54:13.900955+00:00
fdfdrrwer432,3,3,3041d5c3-0851-4d90-8744-7eec0212dec6,9b62d4b1-7e77-4f62-b326-53cc24bfd9d4,velamen,sail,2024-11-24 15:54:13.998132+00:00
fdfdrrwer432,3,3,5dac4cf7-7ede-4b38-84ff-e270d4abc430,f38a18a6-8195-463c-a197-90758c2b6c6b,baluarte,fortress,2024-11-24 15:54:14.096215+00:00
fdfdrrwer432,3,3,b63bac21-db9b-449b-818e-e43f46042e07,9b62d4b1-7e77-4f62-b326-53cc24bfd9d4,velamen,sail,2024-11-24 15:54:14.201336+00:00
fdfdrrwer432,3,3,d2c68625-7482-4e8f-a7fc-a080142c59cc,7308a6dc-bbf8-43fd-8557-d79efcf3b36d,arcoíris,rainbow,2024-11-24 15:54:14.304294+00:00
fdfdrrwer432,3,3,738c4ffe-4ffc-4949-ab83-4587b28c7e61,ccecee3f-ef03-4988-b940-bf3aa83d32da,timbal,drum,2024-11-24 15:54:14.397888+00:00
fdfdrrwer432,3,6,56f35102-d50b-47e7-97fc-deb654699293,22766937-92f0-4139-aedf-a8c3b892bab8,bordón,bass string,2024-11-24 15:54:14.498035+00:00
fdfdrrwer432,3,3,5e8189fb-0cc0-45b2-a2ea-880a12e25ec1,ccecee3f-ef03-4988-b940-bf3aa83d32da,timbal,drum,2024-11-24 15:54:14.604639+00:00
fdfdrrwer432,3,6,4fdfce19-1337-4426-8e2d-dc450fdffb4b,026ec6b6-2715-4aa4-a1c1-247cd4c15d09,júbilo,joy,2024-11-24 15:54:14.783308+00:00
fdfdrrwer432,3,3,c688c330-f325-4815-a4fe-354569e8be84,f38a18a6-8195-463c-a197-90758c2b6c6b,baluarte,fortress,2024-11-24 15:54:14.861474+00:00
fdfdrrwer432,3,6,9fe6eaa3-272b-4cb9-80a8-052f4821f07d,026ec6b6-2715-4aa4-a1c1-247cd4c15d09,júbilo,joy,2024-11-24 15:54:14.958207+00:00
fdfdrrwer432,3,3,2fe9193f-10e7-4ee9-9f5f-2b5e3fda4216,b5986b1d-1979-456e-bd24-04a92583c436,atavío,attire,2024-11-24 15:54:15.058487+00:00
fdfdrrwer432,3,3,49cdb2ea-b298-4d51-8c56-76b08cdaa68b,e3e254f0-e909-4810-8045-7b12e795acdd,bordillo,curb,2024-11-24 15:54:15.162742+00:00
fdfdrrwer432,1,5,849646bb-3016-4299-8dc8-7414035ce80f,d524283c-6588-4ffa-ab98-65e4194b99d0,tornasol,iridescent,2024-11-24 15:54:26.887932+00:00
fdfdrrwer432,1,2,323c3356-0a43-4429-9bcf-f4ec38f693e5,307d903b-c0ed-4746-b809-e44bf970d914,embeleso,enchantment,2024-11-24 15:54:26.998289+00:00
fdfdrrwer432,1,2,26369300-b974-4f39-9e4e-39117b8b7b19,a247dd47-5298-4a4e-bde3-c1ae1759e1e3,lisonja,flattery,2024-11-24 15:54:27.097994+00:00
fdfdrrwer432,1,2,9f1b2cd4-a31f-47d1-96d2-959c0533a19b,dc1c7587-87ed-43e8-b720-2aa67ff06af6,desvelo,wakefulness,2024-11-24 15:54:27.208816+00:00
fdfdrrwer432,1,2,b91dca1d-d9a2-4ca8-a685-d3ff04afae75,6e2223b4-9131-4472-86c1-53c664530618,vericueto,complication,2024-11-24 15:54:27.306813+00:00
fdfdrrwer432,1,2,cb0fe896-ae2a-4205-b34b-c2aade3e2b52,6e2223b4-9131-4472-86c1-53c664530618,vericueto,complication,2024-11-24 15:54:27.411726+00:00
fdfdrrwer432,1,2,b1b976ba-7274-4886-9ef7-9a37d70fc003,1c40c672-95f0-4faf-b710-7f53b36af0bd,alquimia,alchemy,2024-11-24 15:54:27.514436+00:00
fdfdrrwer432,1,2,52439a38-b2c0-4ad8-9822-17d8a9ac1dfd,dc246a38-ef4e-49b1-a87d-9f0e361c87c2,entereza,courage,2024-11-24 15:54:27.597987+00:00
fdfdrrwer432,1,2,1191e6c9-14a3-46a6-9486-74dffd727103,1c40c672-95f0-4faf-b710-7f53b36af0bd,alquimia,alchemy,2024-11-24 15:54:27.721470+00:00
fdfdrrwer432,1,5,cbcad400-1f19-4c82-9c84-a4942f7a9471,d524283c-6588-4ffa-ab98-65e4194b99d0,tornasol,iridescent,2024-11-24 15:54:27.809876+00:00
fdfdrrwer432,1,2,f31d541c-07b9-4fcf-840b-583bf7530e5e,dc1c7587-87ed-43e8-b720-2aa67ff06af6,desvelo,wakefulness,2024-11-24 15:54:27.915919+00:00
fdfdrrwer432,1,2,621cc48f-b71d-49f0-a760-0c0beab89550,dc246a38-ef4e-49b1-a87d-9f0e361c87c2,entereza,courage,2024-11-24 15:54:28.020137+00:00
fdfdrrwer432,1,2,9037af8c-89c6-4c66-b9e7-23a565906548,a247dd47-5298-4a4e-bde3-c1ae1759e1e3,lisonja,flattery,2024-11-24 15:54:28.131436+00:00
fdfdrrwer432,2,1,4887983a-5962-4c04-81e1-4ab82cf0ce45,e8d4bf21-a33a-4b96-872d-d492a1818a93,travesuras,mischiefs,2024-11-24 15:55:07.614273+00:00
fdfdrrwer432,2,1,35b6e704-5e11-4fdc-b00d-127928c406e2,a1dd71b5-b18c-499c-987c-40435e9f837c,estupefacción,astonishment,2024-11-24 15:55:12.984154+00:00
fdfdrrwer432,2,1,c0e6cf5e-e075-4aa0-a335-0a7c975fc68b,b1fb5dd8-1e37-4b5d-bcfb-24cfadda4391,templanza,composure,2024-11-24 15:55:13.084366+00:00
fdfdrrwer432,2,1,77b376ea-a496-438f-9185-fa836e2ec851,a1dd71b5-b18c-499c-987c-40435e9f837c,estupefacción,astonishment,2024-11-24 15:55:13.193984+00:00
fdfdrrwer432,2,1,eefea10b-4ea2-433d-b7cb-57974ae0ae88,b1fb5dd8-1e37-4b5d-bcfb-24cfadda4391,templanza,composure,2024-11-24 15:55:13.284245+00:00
fdfdrrwer432,2,1,94150326-7a2c-4ca7-9e5d-09f614937c9a,e896364c-3fd5-4652-ac6d-6b27cff0ca30,pericia,skill,2024-11-24 15:55:13.384158+00:00
fdfdrrwer432,2,4,b89ba5d2-2449-4c86-bd60-ece11d94f49a,b7d38592-e956-4832-a0d9-cf12e5d430cb,pesadumbre,sadness,2024-11-24 15:55:13.494557+00:00
fdfdrrwer432,2,4,88ef6570-f46c-4f05-8dd7-7d534f0075ea,d5970d70-0e64-4ad1-837e-9430e9fdab0f,miramiento,respect,2024-11-24 15:55:13.576724+00:00
fdfdrrwer432,2,1,57df640c-8e8b-401d-b250-bf1cd11c0fc1,9c938d14-ee99-4511-bc27-73a75a4f822e,arrebato,outburst,2024-11-24 15:55:13.683290+00:00
fdfdrrwer432,2,4,8a2eab70-a709-4857-8cfe-3e872575c034,b7d38592-e956-4832-a0d9-cf12e5d430cb,pesadumbre,sadness,2024-11-24 15:55:13.783863+00:00
fdfdrrwer432,2,4,2b8c97ba-2b64-4dd9-94ee-312435c7910c,d5970d70-0e64-4ad1-837e-9430e9fdab0f,miramiento,respect,2024-11-24 15:55:13.883326+00:00
fdfdrrwer432,2,1,b6942f32-a31a-49c8-ae9d-99f6b36523c6,e896364c-3fd5-4652-ac6d-6b27cff0ca30,pericia,skill,2024-11-24 15:55:13.970732+00:00
fdfdrrwer432,2,1,b6041016-b547-46c8-b176-c3ee79c8dc3b,f4fb5f7f-f968-40e7-b8dc-7540a3a3870a,epopeya,epic,2024-11-24 15:55:14.044146+00:00
fdfdrrwer432,2,1,329092f8-16a1-4ae8-8315-98247ede9bf8,f4fb5f7f-f968-40e7-b8dc-7540a3a3870a,epopeya,epic,2024-11-24 15:55:14.140477+00:00
fdfdrrwer432,2,1,efa3235a-b23e-4f1d-a0ff-61d6f183d663,9c938d14-ee99-4511-bc27-73a75a4f822e,arrebato,outburst,2024-11-24 15:55:14.248858+00:00
fdfdrrwer432,2,1,932743a9-91cb-42ee-9518-d7cf9d157ffd,e8d4bf21-a33a-4b96-872d-d492a1818a93,travesuras,mischiefs,2024-11-24 15:55:14.349980+00:00
